City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Derazhnya,49.27,27.43,43.56,75,100,5.95,UA,1605398150
Hamilton,39.18,-84.53,54.0,54,75,7.23,US,1605398150
Vao,-22.67,167.48,74.89,83,8,7.02,NC,1605398151
Riviere-au-Renard,49.0,-64.4,32.0,90,90,2.24,CA,1605398151
Castro,-24.79,-50.01,66.09,84,53,2.68,BR,1605398151
Pisco,-13.7,-76.22,66.2,82,20,18.34,PE,1605398151
Zaraza,9.35,-65.32,75.88,93,68,4.12,VE,1605398151
Leningradskiy,69.38,178.42,6.21,81,98,4.09,RU,1605398151
Souillac,-20.52,57.52,73.4,88,75,10.29,MU,1605398152
Port Blair,11.67,92.75,80.53,78,45,11.92,IN,1605398152
Grosse Pointe Farms,42.41,-82.89,42.01,65,75,9.17,US,1605398152
Boa Vista,2.82,-60.67,89.6,55,20,4.7,BR,1605398106
Adrar,20.5,-10.07,77.83,17,100,10.38,MR,1605398153
Mondlo,-27.98,30.72,65.77,59,18,2.28,ZA,1605398153
Mehamn,71.04,27.85,39.2,80,0,3.36,NO,1605398153
Severo-Kuril'sk,50.68,156.12,39.63,91,78,17.49,RU,1605398153
Tuscaloosa,33.21,-87.57,73.4,40,1,5.82,US,1605397890
Makkah al Mukarramah,21.43,39.83,75.25,73,0,2.53,SA,1605398153
Ikorodu,6.62,3.5,80.02,83,0,7.74,NG,1605398154
Ukiah,39.15,-123.21,60.8,41,40,4.29,US,1605397942
East London,-33.02,27.91,65.32,75,83,5.28,ZA,1605398154
Carballo,43.21,-8.69,62.01,85,89,5.99,ES,1605398154
Colares,38.8,-9.45,64.0,100,93,11.99,PT,1605398155
Bonfim,3.08,-59.95,79.18,80,74,2.13,BR,1605398155
Oktyabr'skiy,54.48,53.47,10.62,95,0,5.12,RU,1605398155
Gävle,60.67,17.14,42.01,95,90,1.01,SE,1605398155
Ulundi,-28.34,31.42,65.25,82,1,3.76,ZA,1605398155
Severodvinsk,64.56,39.83,33.8,100,75,4.47,RU,1605398073
Fukuechō,32.69,128.84,64.4,77,40,8.05,JP,1605398156
Torbat-e Jām,35.24,60.62,34.72,78,0,0.69,IR,1605398156
Saint-Philippe,-21.36,55.77,71.6,73,90,8.05,RE,1605398156
Huambo,-12.78,15.74,60.35,96,100,2.93,AO,1605398156
Maragogi,-9.01,-35.22,77.86,83,2,11.34,BR,1605398157
Singapore,1.29,103.85,82.4,88,75,4.7,SG,1605398103
Chuguyevka,44.17,133.86,41.04,78,100,5.28,RU,1605398157
Taihe,30.87,105.38,59.92,60,0,3.85,CN,1605398157
George,-33.96,22.46,57.2,100,99,5.82,ZA,1605398157
Fortuna,40.6,-124.16,55.99,62,90,12.75,US,1605398157
Rosarito,32.33,-117.03,68.0,68,5,9.17,MX,1605398158
Nome,64.5,-165.41,21.2,67,1,4.7,US,1605398158
Naryan-Mar,67.67,53.09,27.64,98,97,13.09,RU,1605398158
Manthani,18.65,79.67,68.65,78,0,0.45,IN,1605398158
Eureka,40.8,-124.16,57.0,70,100,3.0,US,1605398159
La Sarre,48.8,-79.2,29.84,93,1,7.92,CA,1605398101
Mabaruma,8.2,-59.78,77.83,88,36,4.74,GY,1605398159
Kultayevo,57.89,55.94,1.4,84,0,4.47,RU,1605398159
Galle,6.04,80.22,77.32,88,45,4.74,LK,1605398159
Burnie,-41.07,145.92,55.99,74,88,4.0,AU,1605398159
Caldas da Rainha,39.4,-9.14,64.99,91,99,8.01,PT,1605398158
Tonneins,44.39,0.31,60.01,93,0,8.05,FR,1605398160
Tangier,35.78,-5.81,62.6,88,0,4.7,MA,1605397905
Ati,13.22,18.34,78.69,18,0,17.49,TD,1605398160
Charters Towers,-20.1,146.27,89.01,40,3,9.75,AU,1605398160
Enterprise,36.03,-115.24,66.99,17,20,6.93,US,1605398161
Uyuni,-20.46,-66.83,56.62,23,0,15.73,BO,1605398161
Ternate,0.8,127.4,83.16,74,46,3.27,ID,1605398030
Vostok,46.49,135.88,29.08,91,26,4.7,RU,1605398161
Tegul'det,57.31,88.17,18.03,97,90,3.02,RU,1605398161
Nelson Bay,-32.72,152.15,80.01,61,0,3.36,AU,1605398161
Pacific Grove,36.62,-121.92,59.0,76,20,8.05,US,1605398007
Havøysund,71.0,24.66,39.2,82,68,8.05,NO,1605398162
Fairbanks,64.84,-147.72,15.8,85,75,2.17,US,1605398162
Vryburg,-26.96,24.73,73.74,37,87,4.25,ZA,1605398167
Chicomuselo,15.77,-92.27,71.91,85,1,1.45,MX,1605398167
Hackettstown,40.85,-74.83,41.0,64,20,4.36,US,1605398168
Bogovarovo,58.98,47.02,21.63,96,100,5.19,RU,1605398168
Tura,25.52,90.22,64.63,87,0,3.22,IN,1605398168
São Félix do Xingu,-6.64,-51.99,74.84,88,45,3.06,BR,1605398168
Chicama,-7.84,-79.15,63.73,79,17,4.56,PE,1605398168
Polunochnoye,60.87,60.42,8.82,90,0,1.81,RU,1605398169
Brookings,44.31,-96.8,34.0,86,1,4.7,US,1605398029
College Place,46.05,-118.39,50.0,61,1,4.7,US,1605397987
Santa Marta,11.24,-74.2,80.01,79,100,1.01,CO,1605398169
Hirado,33.36,129.55,62.01,82,40,8.05,JP,1605398170
Vanimo,-2.67,141.3,85.57,66,87,5.68,PG,1605398170
Halifax,44.65,-63.57,39.2,86,68,8.05,CA,1605398153
Kutum,14.2,24.67,61.63,30,0,15.93,SD,1605398170
Cervo,43.67,-7.41,64.0,80,100,4.0,ES,1605398170
Atoyac,20.02,-103.53,80.6,26,20,6.93,MX,1605398171
Kafue,-15.77,28.18,71.6,64,0,3.36,ZM,1605398171
Banjarmasin,-3.32,114.59,75.2,100,20,5.82,ID,1605398171
Vyshneve,50.39,30.37,41.0,93,75,4.47,UA,1605398171
Villarrobledo,39.27,-2.6,54.0,98,87,5.01,ES,1605398171
Makakilo City,21.35,-158.09,84.2,58,75,9.17,US,1605398171
Verkhoyansk,67.54,133.38,-15.5,83,84,1.12,RU,1605398172
Taoudenni,22.68,-3.98,74.62,20,45,14.56,ML,1605398172
Rundu,-17.93,19.77,67.86,85,87,4.32,NA,1605398172
Richards Bay,-28.78,32.04,69.24,81,0,6.91,ZA,1605398172
Palmer,42.16,-72.33,41.0,52,20,8.05,US,1605398104
Husavik,66.04,-17.34,32.0,97,90,5.82,IS,1605398173
Lincoln,40.8,-96.67,54.0,50,75,3.36,US,1605397893
La Estancia,20.42,-100.07,80.6,19,20,7.99,MX,1605398173
Grafton,42.21,-71.69,39.0,59,1,10.29,US,1605398173
Seydi,39.48,62.91,29.93,88,0,4.18,TM,1605398173
Talcahuano,-36.72,-73.12,59.0,62,0,13.87,CL,1605398173
Sarangani,5.4,125.46,83.7,76,100,16.78,PH,1605398174
Mersing,2.43,103.84,77.0,94,96,2.24,MY,1605398174
Tomohon,1.33,124.84,82.4,83,40,3.36,ID,1605398174
Río Gallegos,-51.62,-69.22,53.6,40,0,18.34,AR,1605398175
Vila Velha,-20.33,-40.29,77.0,94,0,9.17,BR,1605398175
Shingū,33.73,135.98,62.6,63,20,8.05,JP,1605398175
Mukhen,48.1,136.1,34.09,83,0,9.28,RU,1605398175
Big Spring,32.25,-101.48,77.0,17,90,16.11,US,1605398175
Karasjok,69.47,25.51,39.2,86,100,53.02,NO,1605398176
Pasinler,39.98,41.68,24.8,85,0,5.82,TR,1605398176
Kommunar,59.62,30.39,33.01,86,75,6.71,RU,1605398176
Takoradze,4.88,-1.76,79.0,85,46,5.97,GH,1605398176
Biak,-0.91,122.88,82.76,70,95,2.68,ID,1605398177
Hirara,24.8,125.28,75.2,83,75,9.17,JP,1605398178
Nidzica,53.36,20.43,44.6,93,90,1.12,PL,1605398178
Vellmar,51.36,9.48,52.0,93,78,4.7,DE,1605398178
Nishifukuma,33.77,130.47,57.99,58,40,3.36,JP,1605397954
Solnechnyy,50.72,136.63,28.58,91,100,2.06,RU,1605398179
Katsuura,35.13,140.3,57.99,58,20,4.7,JP,1605398179
Constantine,36.37,6.61,57.2,54,0,2.24,DZ,1605397983
Lichinga,-13.31,35.24,66.2,52,0,8.05,MZ,1605398179
Mil'kovo,54.72,158.62,26.67,97,100,3.58,RU,1605398179
Grinnell,41.74,-92.72,55.4,82,90,11.41,US,1605398180
Tefé,-3.35,-64.71,84.2,79,20,1.43,BR,1605398180
Hambantota,6.12,81.12,78.17,84,86,8.57,LK,1605398180
Kloulklubed,7.04,134.26,82.4,88,75,6.93,PW,1605398180
Nemuro,43.32,145.57,41.0,65,20,9.17,JP,1605398180
Karratha,-20.74,116.85,81.72,33,0,12.5,AU,1605398181
Usta Muhammad,28.18,68.04,69.71,43,89,6.35,PK,1605398181
Akureyri,65.68,-18.09,32.0,94,90,5.82,IS,1605398181
Vuktyl,63.86,57.31,9.23,93,0,6.98,RU,1605398181
El'brus,43.26,42.64,26.02,67,95,1.3,RU,1605398181
Yeppoon,-23.13,150.73,82.4,61,75,5.82,AU,1605398182
Youkounkoun,12.53,-13.13,74.16,23,0,2.75,GN,1605398182
Talnakh,69.49,88.4,-4.0,83,100,17.9,RU,1605398182
Jiuquan,39.74,98.52,27.52,92,25,2.62,CN,1605398182
Ha Tinh,18.33,105.9,67.6,85,100,16.89,VN,1605398074
Havre-St-Pierre,50.23,-63.6,32.0,99,90,3.36,CA,1605398182
Palana,59.12,159.97,35.04,86,100,19.3,RU,1605398183
Maniitsoq,65.42,-52.9,14.61,82,0,9.37,GL,1605398183
Oussouye,12.48,-16.55,75.2,88,0,4.7,SN,1605398183
Olinda,-8.01,-34.86,80.6,78,40,9.17,BR,1605397908
Vardø,70.37,31.11,40.32,82,98,29.1,NO,1605398183
Palafrugell,41.92,3.16,59.0,95,99,6.91,ES,1605398183
Sharanga,57.18,46.54,19.18,94,95,5.21,RU,1605398184
Bang Saphan,11.21,99.51,73.0,71,98,6.96,TH,1605398184
Srednekolymsk,67.45,153.68,-14.75,88,81,2.71,RU,1605398184
Kuminskiy,58.67,66.57,6.31,93,100,8.68,RU,1605398184
Oistins,13.07,-59.53,77.0,94,20,8.05,BB,1605398024
Pangnirtung,66.15,-65.71,8.96,88,82,2.42,CA,1605398185
Little Current,45.98,-81.92,41.0,65,70,16.11,CA,1605398185
Sabha,27.04,14.43,58.55,62,0,8.99,LY,1605398185
Freeport,40.66,-73.58,48.2,45,1,4.7,US,1605397909
Saint George,37.1,-113.58,62.6,13,1,5.82,US,1605398185
Namatanai,-3.67,152.43,85.87,65,5,8.88,PG,1605398185
Cayenne,4.93,-52.33,75.2,100,0,2.24,GF,1605398094
Kadoma,34.73,135.58,54.0,81,20,2.24,JP,1605398186
Creel,27.75,-107.63,52.7,46,0,6.42,MX,1605398186
Shangrao,28.45,117.97,58.19,76,0,5.93,CN,1605398186
Lichtenau,51.62,8.9,55.0,78,82,4.0,DE,1605398186
Plácido de Castro,-10.34,-67.19,82.47,65,100,1.43,BR,1605398186
Tateyama,34.98,139.87,57.99,82,20,1.12,JP,1605398186
Hailar,49.2,119.7,19.13,96,2,4.76,CN,1605398187
Same,-4.07,37.73,69.55,86,71,3.67,TZ,1605398187
Rawlins,41.79,-107.24,26.6,53,90,29.97,US,1605398187
Polyanka,50.26,27.69,43.59,81,98,3.96,UA,1605398187
Koumac,-20.57,164.28,81.27,69,8,6.71,NC,1605398188
Roxana,10.28,-83.75,69.01,100,75,8.05,CR,1605398188
Saint-François,46.42,3.91,51.01,93,0,4.7,FR,1605398188
Alamor,-4.02,-80.02,61.97,78,80,3.67,EC,1605398188
Stuttgart,48.78,9.18,48.0,93,0,5.82,DE,1605398094
Hede,33.77,120.25,58.08,78,0,4.97,CN,1605398188
Teknāf,20.86,92.31,71.87,72,0,3.49,BD,1605398189
Pemangkat,1.17,108.97,78.3,83,82,4.97,ID,1605398189
Basoko,1.24,23.62,70.65,94,98,1.23,CD,1605398189
Bella Vista,36.43,-94.23,68.0,82,40,16.11,US,1605398092
Buin,-33.73,-70.75,68.0,42,0,14.99,CL,1605398190
Gizo Government Station,-8.1,156.84,84.97,71,51,4.83,SB,1605398191
Batagay,67.63,134.63,-16.92,85,75,2.01,RU,1605398191
Gouyave,12.16,-61.73,80.6,83,20,11.3,GD,1605398191
Sinjai,-5.12,120.25,82.74,72,100,5.12,ID,1605398191
Imeni Poliny Osipenko,52.42,136.49,25.88,97,100,2.91,RU,1605398192
Lata,40.16,-8.33,64.0,89,95,3.0,PT,1605398192
Corinth,37.94,22.96,53.01,63,0,1.99,GR,1605398029
Kruisfontein,-34.0,24.73,62.01,80,63,4.21,ZA,1605398192
Mackay,-21.15,149.2,84.0,65,75,10.29,AU,1605398192
Reconquista,-29.15,-59.65,65.93,97,100,7.74,AR,1605398192
Madang,-5.22,145.8,85.98,62,10,3.49,PG,1605398193
Berlevåg,70.86,29.09,39.2,80,0,3.36,NO,1605398193
Ambon City,-3.7,128.18,84.76,68,35,4.72,ID,1605398193
Monster,52.03,4.17,57.99,84,98,8.99,NL,1605398193
Mossamedes,-15.2,12.15,69.31,77,36,6.29,AO,1605398194
Lashio,22.93,97.75,57.56,91,0,1.68,MM,1605398194
Catalão,-18.17,-47.95,68.81,89,100,4.92,BR,1605398194
Pryamitsyno,51.66,35.93,29.43,96,24,3.67,RU,1605398194
Caravelas,-17.71,-39.25,77.61,83,94,10.31,BR,1605397992
Dubbo,-32.25,148.62,82.08,29,0,5.75,AU,1605398194
Zabul Province,32.25,67.25,36.86,83,81,17.74,AF,1605398195
Quatre Cocos,-20.21,57.76,73.4,88,75,10.29,MU,1605398195
Bogotol,56.21,89.53,16.11,94,20,3.27,RU,1605398195
Kupang,-10.17,123.58,84.2,79,20,6.93,ID,1605398195
Redmond,47.67,-122.12,45.0,89,100,4.14,US,1605397922
Nānākuli,21.39,-158.15,84.2,58,75,9.17,US,1605398195
Salamiyah,35.01,37.05,58.77,66,68,0.85,SY,1605398196
Gwadar,25.12,62.33,70.66,47,47,16.6,PK,1605398196
Krasnogorskoye,52.3,86.2,23.81,87,39,1.83,RU,1605398196
Bacolod City,10.67,122.95,83.23,77,37,10.25,PH,1605398170
Erenhot,43.65,111.98,37.04,73,28,4.0,CN,1605398196
Melfi,41.0,15.65,45.0,99,100,1.01,IT,1605398197
Rensvik,63.1,7.82,51.8,60,92,19.46,NO,1605398197
San Patricio,28.02,-97.52,82.4,65,75,18.34,US,1605398197
Puri,19.8,85.85,74.28,74,0,11.3,IN,1605398197
Avera,33.19,-82.53,62.01,87,1,2.71,US,1605398197
Lensk,60.73,114.93,9.86,92,100,10.69,RU,1605398197
Lagoa,39.05,-27.98,64.2,86,100,17.56,PT,1605398198
Jinchang,38.5,102.17,41.14,65,1,7.16,CN,1605398198
Port-Gentil,-0.72,8.78,80.6,88,75,8.05,GA,1605398198
Jardim,-21.48,-56.14,80.55,61,3,3.31,BR,1605398198
Apartadó,7.88,-76.63,74.21,87,80,8.5,CO,1605398198
Thinadhoo,0.53,72.93,81.5,80,100,21.7,MV,1605398199
Foumban,5.73,10.9,67.87,68,99,0.65,CM,1605398199
Casino,-28.87,153.05,81.0,57,10,4.7,AU,1605398199
Yar-Sale,66.83,70.83,3.15,91,100,12.41,RU,1605398199
Ambilobe,-13.2,49.05,74.55,86,99,5.88,MG,1605398199
Hilton Head,32.22,-80.75,73.0,88,1,5.82,US,1605398199
Pinega,64.7,43.39,31.93,98,100,4.59,RU,1605398200
Ucluelet,48.93,-125.55,41.0,93,90,13.87,CA,1605398028
La Cruz,23.92,-106.9,78.01,62,1,8.01,MX,1605398200
San Vicente,-26.62,-54.13,72.5,53,3,2.59,AR,1605398200
Marawi,8.0,124.29,81.0,79,51,8.01,PH,1605398200
Aripuanã,-9.17,-60.63,77.83,78,47,1.59,BR,1605398200
Seymchan,62.88,152.43,-2.81,91,100,3.53,RU,1605398201
Berekum,7.45,-2.58,72.36,59,34,1.25,GH,1605398201
Soyo,-6.13,12.37,77.7,88,100,5.99,AO,1605398201
Kaeo,-35.1,173.78,69.35,41,75,6.13,NZ,1605398201
Korla,41.76,86.15,42.01,86,93,5.99,CN,1605398201
Aklavik,68.22,-135.01,3.2,77,75,3.36,CA,1605398202
Tautira,-17.73,-149.15,84.2,74,40,13.87,PF,1605398202
Camopi,3.17,-52.32,73.98,95,100,3.18,GF,1605398202
Steamboat Springs,40.48,-106.83,24.8,53,40,27.51,US,1605398202
Evensk,61.95,159.23,17.01,96,100,26.91,RU,1605398202
Tutóia,-2.76,-42.27,82.33,78,45,15.75,BR,1605398203
Khovd,48.01,91.64,27.66,86,99,1.16,MN,1605398203
Nísia Floresta,-6.09,-35.21,78.8,83,20,11.41,BR,1605398203
Hohhot,40.81,111.65,33.8,80,94,2.24,CN,1605398203
Takelsa,36.78,10.63,69.8,77,20,7.23,TN,1605398203
Bonnyville,54.27,-110.73,23.0,85,90,4.7,CA,1605398204
Bayir,37.27,28.22,53.6,62,0,4.7,TR,1605398204
Manyana,-23.4,21.72,73.15,51,99,3.71,BW,1605398204
Mahon,39.89,4.27,62.6,93,0,4.7,ES,1605398204
Abalak,58.13,68.59,7.23,95,100,8.5,RU,1605398204
Dovolnoye,54.5,79.67,23.14,93,22,4.59,RU,1605398204
Timrå,62.49,17.33,41.0,100,88,6.93,SE,1605398205
Forsytheganj,52.63,29.73,39.63,96,95,3.65,BY,1605398205
Athabasca,54.72,-113.29,24.8,85,86,5.82,CA,1605398205
Tukan,53.84,57.46,6.39,94,39,4.41,RU,1605398205
Pine Bluff,34.23,-92.0,71.6,56,1,11.41,US,1605398060
Senno,59.53,33.92,33.01,94,100,1.01,RU,1605398205
Kidal,18.44,1.41,70.83,23,0,10.76,ML,1605398206
Jiaocheng,24.68,116.14,66.83,78,100,1.92,CN,1605398206
Wagga Wagga,-35.12,147.37,73.4,46,0,10.29,AU,1605398206
Koslan,63.46,48.9,24.26,98,99,4.63,RU,1605398206
Ust'-Kulom,61.69,53.69,8.42,93,31,4.09,RU,1605398206
Klaksvík,62.23,-6.59,46.4,93,89,4.7,FO,1605398207
Saquarema,-22.92,-42.51,75.2,94,75,6.93,BR,1605398164
Abu Dhabi,24.47,54.37,77.0,61,0,6.93,AE,1605398161
Atasū,48.68,71.64,20.8,97,100,10.83,KZ,1605398207
Dawei,14.08,98.2,71.04,71,79,4.74,MM,1605398207
Peterhead,57.51,-1.8,51.8,81,83,23.04,GB,1605398207
Mawlaik,23.63,94.42,63.55,86,0,1.21,MM,1605398207
Balrāmpur,27.43,82.18,62.64,52,3,1.86,IN,1605398208
Banda Aceh,5.56,95.32,79.48,80,52,4.27,ID,1605398163
Saint-Pierre,-21.34,55.48,71.6,73,90,8.05,RE,1605398208
Moree,-29.47,149.85,89.6,15,0,11.41,AU,1605398208
Itarema,-2.92,-39.92,81.48,77,46,16.8,BR,1605398208
New Milford,40.93,-74.02,48.99,45,1,4.7,US,1605397933
Hobe Sound,27.06,-80.14,79.0,78,75,10.29,US,1605398209
Barcarena,-1.51,-48.63,78.8,88,40,4.7,BR,1605398209
Jati,24.35,68.27,71.22,69,0,7.45,PK,1605398209
Clyde River,70.47,-68.59,23.0,73,75,27.51,CA,1605398210
Zonguldak,41.25,31.83,44.44,91,20,3.36,TR,1605398210
Kimbe,-5.55,150.14,89.89,59,8,2.66,PG,1605398210
Inuvik,68.35,-133.72,8.6,77,97,8.05,CA,1605398052
Zyryanka,65.75,150.85,-11.9,88,100,4.56,RU,1605398210
Dudinka,69.41,86.18,-4.0,83,100,17.9,RU,1605398211
Imbituva,-25.23,-50.6,67.78,73,13,1.3,BR,1605398211
Lima,-12.04,-77.03,66.2,77,40,11.41,PE,1605398049
Umluj,25.02,37.27,73.51,67,0,3.8,SA,1605398211
Coahuayana Viejo,18.73,-103.68,78.8,78,40,11.41,MX,1605398211
Bama,11.52,13.69,77.18,21,95,9.31,NG,1605398212
